"file","golden","symbols"
"fixtures/corpus/av_acc_timeat_first_of_two.frees","true","odevalue;timeat"
"fixtures/corpus/av_acc_timeat_never.frees","true","odevalue;timeat"
"fixtures/corpus/av_acc_timeat_on_row.frees","true","odevalue;timeat"
"fixtures/corpus/av_acc_two_blocks.frees","true","beta;odevalue;finalvalue"
"fixtures/corpus/av_acc_two_blocks_same_column.frees","true","odevalue;finalvalue"
"fixtures/corpus/av_ev_any_direction.frees","true","cos"
"fixtures/corpus/av_ev_any_keyword.frees","true","cos"
"fixtures/corpus/av_ev_at_t0.frees","true",""
"fixtures/corpus/av_ev_at_t0_stop.frees","true",""
"fixtures/corpus/av_ev_falling_only.frees","true","cos"
"fixtures/corpus/av_ev_guard_on_aux.frees","true",""
"fixtures/corpus/av_ev_guard_on_time.frees","true",""
"fixtures/corpus/av_ev_never_fires.frees","true",""
"fixtures/corpus/av_ev_rising_only.frees","true","cos"
"fixtures/corpus/av_ev_set_hysteresis.frees","true",""
"fixtures/corpus/av_ev_set_then_stop.frees","true",""
"fixtures/corpus/av_ev_set_to_expression.frees","true",""
"fixtures/corpus/av_ev_stop_at_tf.frees","true",""
"fixtures/corpus/av_ev_tangential.frees","true",""
"fixtures/corpus/av_ev_two_in_one_step.frees","true",""
"fixtures/corpus/av_ev_two_stop_race.frees","true",""
"fixtures/corpus/av_ev_two_wide_apart.frees","true",""
"fixtures/corpus/av_int_dense_between.frees","true","sin"
"fixtures/corpus/av_int_fixed_ode1.frees","true",""
"fixtures/corpus/av_int_fixed_ode4.frees","true",""
"fixtures/corpus/av_int_maxstep_cap.frees","true",""
"fixtures/corpus/av_int_reversed_span.frees","true",""
"fixtures/corpus/av_int_step_rejection.frees","true","exp"
"fixtures/corpus/av_int_stiff_ode15s.frees","true","sin;cos"
"fixtures/corpus/av_int_stiff_ode23s.frees","true","sin;cos"
"fixtures/corpus/av_int_stiff_ode45.frees","true","sin;cos"
"fixtures/corpus/av_int_stiff_pair_ode15s.frees","true",""
"fixtures/corpus/av_int_tight_tol.frees","true",""
"fixtures/corpus/av_int_vdp_ode23.frees","true",""
"fixtures/corpus/av_int_vdp_ode23s.frees","true",""
"fixtures/corpus/av_int_vdp_ode45.frees","true",""
"fixtures/corpus/av_int_zero_span.frees","true",""
"fixtures/corpus/av_lim_atol_zero.frees","true","cos"
"fixtures/corpus/av_lim_blowup_inf.frees","true",""
"fixtures/corpus/av_lim_ic_expression.frees","true",""
"fixtures/corpus/av_lim_maxstep_default.frees","true",""
"fixtures/corpus/av_lim_nan_rhs.frees","true","sqrt"
"fixtures/corpus/av_lim_points_negative.frees","true",""
"fixtures/corpus/av_lim_points_one.frees","true",""
